Samples	SBS96A	SBS96B
SP.Syn.Abst.518	2.32E+01	2.32E+01
SP.Syn.Abst.519	2.61E+01	2.61E+01
SP.Syn.Abst.520	2.66E+01	2.66E+01
SP.Syn.Abst.521	1.07E+01	1.07E+01
SP.Syn.Abst.522	5.60E+01	5.60E+01
SP.Syn.Abst.523	2.02E+01	2.02E+01
SP.Syn.Abst.524	1.31E+01	1.31E+01
SP.Syn.Abst.525	2.75E+01	2.75E+01
SP.Syn.Abst.526	2.46E+01	2.46E+01
SP.Syn.Abst.527	4.12E+01	4.12E+01
SP.Syn.Abst.528	3.18E+01	3.18E+01
SP.Syn.Abst.529	2.28E+01	2.28E+01
SP.Syn.Abst.530	2.34E+01	2.34E+01
SP.Syn.Abst.531	7.80E+00	7.80E+00
SP.Syn.Abst.532	2.17E+01	2.17E+01
SP.Syn.Abst.533	3.11E+01	3.11E+01
SP.Syn.Abst.534	2.13E+01	2.13E+01
SP.Syn.Abst.535	3.77E+01	3.77E+01
SP.Syn.Abst.536	2.29E+01	2.29E+01
SP.Syn.Abst.537	2.51E+01	2.51E+01
SP.Syn.Abst.538	2.89E+01	2.89E+01
SP.Syn.Abst.539	3.53E+01	3.53E+01
SP.Syn.Abst.540	3.97E+01	3.97E+01
SP.Syn.Abst.541	2.19E+01	2.19E+01
SP.Syn.Abst.542	2.42E+01	2.42E+01
SP.Syn.Abst.543	4.11E+01	4.11E+01
SP.Syn.Abst.544	2.16E+01	2.16E+01
SP.Syn.Abst.545	2.78E+01	2.78E+01
SP.Syn.Abst.546	2.86E+01	2.86E+01
SP.Syn.Abst.547	2.43E+01	2.43E+01
SP.Syn.Abst.548	1.87E+01	1.87E+01
SP.Syn.Abst.549	2.73E+01	2.73E+01
SP.Syn.Abst.550	1.65E+01	1.65E+01
SP.Syn.Abst.551	2.74E+01	2.74E+01
SP.Syn.Abst.552	3.80E+01	3.80E+01
SP.Syn.Abst.553	2.03E+01	2.03E+01
SP.Syn.Abst.554	1.29E+01	1.29E+01
SP.Syn.Abst.555	2.43E+01	2.43E+01
SP.Syn.Abst.556	1.87E+01	1.87E+01
SP.Syn.Abst.557	3.30E+01	3.30E+01
SP.Syn.Abst.558	2.53E+01	2.53E+01
SP.Syn.Abst.559	3.15E+01	3.15E+01
SP.Syn.Abst.560	2.38E+01	2.38E+01
SP.Syn.Abst.561	2.81E+01	2.81E+01
SP.Syn.Abst.562	2.81E+01	2.81E+01
SP.Syn.Abst.563	3.27E+01	3.27E+01
SP.Syn.Abst.564	5.61E+01	5.61E+01
SP.Syn.Abst.565	5.04E+01	5.04E+01
SP.Syn.Abst.566	4.60E+01	4.60E+01
SP.Syn.Abst.567	2.18E+01	2.18E+01
SP.Syn.Abst.568	2.42E+01	2.42E+01
SP.Syn.Abst.569	1.80E+01	1.80E+01
SP.Syn.Abst.570	2.86E+01	2.86E+01
SP.Syn.Abst.571	3.80E+01	3.80E+01
SP.Syn.Abst.572	4.26E+01	4.26E+01
SP.Syn.Abst.573	1.56E+01	1.56E+01
SP.Syn.Abst.574	1.95E+01	1.95E+01
SP.Syn.Abst.575	3.67E+01	3.67E+01
SP.Syn.Abst.576	3.34E+01	3.34E+01
SP.Syn.Abst.577	2.78E+01	2.78E+01
SP.Syn.Abst.578	2.62E+01	2.62E+01
SP.Syn.Abst.579	2.43E+01	2.43E+01
SP.Syn.Abst.580	3.66E+01	3.66E+01
SP.Syn.Abst.581	1.80E+01	1.80E+01
SP.Syn.Abst.582	2.28E+01	2.28E+01
SP.Syn.Abst.583	1.82E+01	1.82E+01
SP.Syn.Abst.584	2.90E+01	2.90E+01
SP.Syn.Abst.585	3.14E+01	3.14E+01
SP.Syn.Abst.586	3.12E+01	3.12E+01
SP.Syn.Abst.587	2.56E+01	2.56E+01
SP.Syn.Abst.588	2.28E+01	2.28E+01
SP.Syn.Abst.589	2.75E+01	2.75E+01
SP.Syn.Abst.590	2.49E+01	2.49E+01
SP.Syn.Abst.591	1.41E+01	1.41E+01
SP.Syn.Abst.592	7.40E+01	7.40E+01
SP.Syn.Abst.593	1.70E+01	1.70E+01
SP.Syn.Abst.594	3.11E+01	3.11E+01
SP.Syn.Abst.595	2.47E+01	2.47E+01
SP.Syn.Abst.596	2.41E+01	2.41E+01
SP.Syn.Abst.597	1.54E+01	1.54E+01
SP.Syn.Abst.598	2.90E+01	2.90E+01
SP.Syn.Abst.599	2.14E+01	2.14E+01
SP.Syn.Abst.600	1.53E+01	1.53E+01
SP.Syn.Abst.601	2.62E+01	2.62E+01
SP.Syn.Abst.602	3.82E+01	3.82E+01
SP.Syn.Abst.603	2.52E+01	2.52E+01
SP.Syn.Abst.604	1.62E+01	1.62E+01
SP.Syn.Abst.605	1.51E+01	1.51E+01
SP.Syn.Abst.606	3.27E+01	3.27E+01
SP.Syn.Abst.607	3.70E+01	3.70E+01
SP.Syn.Abst.608	1.71E+01	1.71E+01
SP.Syn.Abst.609	2.68E+01	2.68E+01
SP.Syn.Abst.610	2.94E+01	2.94E+01
SP.Syn.Abst.611	3.67E+01	3.67E+01
SP.Syn.Abst.612	2.94E+01	2.94E+01
SP.Syn.Abst.613	2.33E+01	2.33E+01
SP.Syn.Abst.614	2.12E+01	2.12E+01
SP.Syn.Abst.615	2.80E+01	2.80E+01
SP.Syn.Abst.616	1.72E+01	1.72E+01
SP.Syn.Abst.617	2.04E+01	2.04E+01
SP.Syn.Abst.618	5.03E+01	5.03E+01
SP.Syn.Abst.619	4.27E+01	4.27E+01
SP.Syn.Abst.620	2.78E+01	2.78E+01
SP.Syn.Abst.621	3.31E+01	3.31E+01
SP.Syn.Abst.622	2.54E+01	2.54E+01
SP.Syn.Abst.623	3.38E+01	3.38E+01
SP.Syn.Abst.624	3.62E+01	3.62E+01
SP.Syn.Abst.625	2.47E+01	2.47E+01
SP.Syn.Abst.626	2.58E+01	2.58E+01
SP.Syn.Abst.627	1.59E+01	1.59E+01
SP.Syn.Abst.628	2.34E+01	2.34E+01
SP.Syn.Abst.629	2.39E+01	2.39E+01
SP.Syn.Abst.630	1.87E+01	1.87E+01
SP.Syn.Abst.631	3.43E+01	3.43E+01
SP.Syn.Abst.632	1.90E+01	1.90E+01
SP.Syn.Abst.633	4.74E+01	4.74E+01
SP.Syn.Abst.634	3.87E+01	3.87E+01
SP.Syn.Abst.635	1.99E+01	1.99E+01
SP.Syn.Abst.636	2.31E+01	2.31E+01
SP.Syn.Abst.637	2.48E+01	2.48E+01
SP.Syn.Abst.638	2.87E+01	2.87E+01
SP.Syn.Abst.639	3.97E+01	3.97E+01
SP.Syn.Abst.640	2.82E+01	2.82E+01
SP.Syn.Abst.641	1.61E+01	1.61E+01
SP.Syn.Abst.642	1.43E+01	1.43E+01
SP.Syn.Abst.643	3.28E+01	3.28E+01
SP.Syn.Abst.644	2.15E+01	2.15E+01
SP.Syn.Abst.645	2.01E+01	2.01E+01
SP.Syn.Abst.646	1.68E+01	1.68E+01
SP.Syn.Abst.647	3.03E+01	3.03E+01
SP.Syn.Abst.648	3.21E+01	3.21E+01
SP.Syn.Abst.649	1.94E+01	1.94E+01
SP.Syn.Abst.650	2.11E+01	2.11E+01
SP.Syn.Abst.651	2.59E+01	2.59E+01
SP.Syn.Abst.652	2.67E+01	2.67E+01
SP.Syn.Abst.653	1.81E+01	1.81E+01
SP.Syn.Abst.654	2.94E+01	2.94E+01
SP.Syn.Abst.655	2.69E+01	2.69E+01
SP.Syn.Abst.656	3.18E+01	3.18E+01
SP.Syn.Abst.657	1.53E+01	1.53E+01
SP.Syn.Abst.658	4.50E+01	4.50E+01
SP.Syn.Abst.659	2.06E+01	2.06E+01
SP.Syn.Abst.660	1.83E+01	1.83E+01
SP.Syn.Abst.661	2.60E+01	2.60E+01
SP.Syn.Abst.662	3.88E+01	3.88E+01
SP.Syn.Abst.663	2.60E+01	2.60E+01
SP.Syn.Abst.664	2.32E+01	2.32E+01
SP.Syn.Abst.665	2.42E+01	2.42E+01
SP.Syn.Abst.666	1.84E+01	1.84E+01
SP.Syn.Abst.667	3.17E+01	3.17E+01
SP.Syn.Abst.668	1.38E+01	1.38E+01
SP.Syn.Abst.669	3.83E+01	3.83E+01
SP.Syn.Abst.670	2.76E+01	2.76E+01
SP.Syn.Abst.671	2.20E+01	2.20E+01
SP.Syn.Abst.672	4.87E+01	4.87E+01
SP.Syn.Abst.673	2.83E+01	2.83E+01
SP.Syn.Abst.674	2.53E+01	2.53E+01
SP.Syn.Abst.675	2.53E+01	2.53E+01
SP.Syn.Abst.676	2.13E+01	2.13E+01
SP.Syn.Abst.677	3.09E+01	3.09E+01
SP.Syn.Abst.678	3.93E+01	3.93E+01
SP.Syn.Abst.679	2.88E+01	2.88E+01
SP.Syn.Abst.680	2.66E+01	2.66E+01
SP.Syn.Abst.681	2.52E+01	2.52E+01
SP.Syn.Abst.682	2.55E+01	2.55E+01
SP.Syn.Abst.683	1.82E+01	1.82E+01
SP.Syn.Abst.684	2.05E+01	2.05E+01
SP.Syn.Abst.685	2.13E+01	2.13E+01
SP.Syn.Abst.686	4.37E+01	4.37E+01
SP.Syn.Abst.687	3.14E+01	3.14E+01
SP.Syn.Abst.688	2.69E+01	2.69E+01
SP.Syn.Abst.689	4.77E+01	4.77E+01
SP.Syn.Abst.690	2.52E+01	2.52E+01
SP.Syn.Abst.691	4.83E+01	4.83E+01
SP.Syn.Abst.692	2.10E+01	2.10E+01
SP.Syn.Abst.693	1.65E+01	1.65E+01
SP.Syn.Abst.694	3.82E+01	3.82E+01
SP.Syn.Abst.695	3.88E+01	3.88E+01
SP.Syn.Abst.696	5.54E+01	5.54E+01
SP.Syn.Abst.697	5.27E+01	5.27E+01
SP.Syn.Abst.698	4.12E+01	4.12E+01
SP.Syn.Abst.699	3.25E+01	3.25E+01
SP.Syn.Abst.700	1.67E+01	1.67E+01
SP.Syn.Abst.701	2.79E+01	2.79E+01
SP.Syn.Abst.702	1.89E+01	1.89E+01
SP.Syn.Abst.703	2.29E+01	2.29E+01
SP.Syn.Abst.704	3.91E+01	3.91E+01
SP.Syn.Abst.705	1.99E+01	1.99E+01
SP.Syn.Abst.706	2.59E+01	2.59E+01
SP.Syn.Abst.707	2.11E+01	2.11E+01
SP.Syn.Abst.708	1.79E+01	1.79E+01
SP.Syn.Abst.709	5.51E+01	5.51E+01
SP.Syn.Abst.710	3.57E+01	3.57E+01
SP.Syn.Abst.711	2.52E+01	2.52E+01
SP.Syn.Abst.712	2.66E+01	2.66E+01
SP.Syn.Abst.713	2.67E+01	2.67E+01
SP.Syn.Abst.714	2.02E+01	2.02E+01
SP.Syn.Abst.715	3.28E+01	3.28E+01
SP.Syn.Abst.716	2.92E+01	2.92E+01
SP.Syn.Abst.717	3.45E+01	3.45E+01
SP.Syn.Abst.718	4.28E+01	4.28E+01
SP.Syn.Abst.719	1.83E+01	1.83E+01
SP.Syn.Abst.720	2.59E+01	2.59E+01
SP.Syn.Abst.721	2.58E+01	2.58E+01
SP.Syn.Abst.722	2.60E+01	2.60E+01
SP.Syn.Abst.723	3.05E+01	3.05E+01
SP.Syn.Abst.724	3.22E+01	3.22E+01
SP.Syn.Abst.725	3.73E+01	3.73E+01
SP.Syn.Abst.726	2.23E+01	2.23E+01
SP.Syn.Abst.727	1.85E+01	1.85E+01
SP.Syn.Abst.728	3.02E+01	3.02E+01
SP.Syn.Abst.729	7.78E+01	7.78E+01
SP.Syn.Abst.730	2.02E+01	2.02E+01
SP.Syn.Abst.731	2.78E+01	2.78E+01
SP.Syn.Abst.732	2.23E+01	2.23E+01
SP.Syn.Abst.733	1.82E+01	1.82E+01
SP.Syn.Abst.734	3.54E+01	3.54E+01
SP.Syn.Abst.735	1.76E+01	1.76E+01
SP.Syn.Abst.736	3.61E+01	3.61E+01
SP.Syn.Abst.737	2.93E+01	2.93E+01
SP.Syn.Abst.738	2.16E+01	2.16E+01
SP.Syn.Abst.739	3.75E+01	3.75E+01
SP.Syn.Abst.740	3.14E+01	3.14E+01
SP.Syn.Abst.741	1.84E+01	1.84E+01
SP.Syn.Abst.742	2.46E+01	2.46E+01
SP.Syn.Abst.743	3.14E+01	3.14E+01
SP.Syn.Abst.744	4.43E+01	4.43E+01
SP.Syn.Abst.745	3.14E+01	3.14E+01
SP.Syn.Abst.746	4.67E+01	4.67E+01
SP.Syn.Abst.747	2.77E+01	2.77E+01
SP.Syn.Abst.748	2.76E+01	2.76E+01
SP.Syn.Abst.749	1.52E+01	1.52E+01
SP.Syn.Abst.750	2.41E+01	2.41E+01
SP.Syn.Abst.751	2.00E+01	2.00E+01
SP.Syn.Abst.752	1.83E+01	1.83E+01
SP.Syn.Abst.753	2.08E+01	2.08E+01
SP.Syn.Abst.754	4.24E+01	4.24E+01
SP.Syn.Abst.755	3.41E+01	3.41E+01
SP.Syn.Abst.756	3.34E+01	3.34E+01
SP.Syn.Abst.757	1.69E+01	1.69E+01
SP.Syn.Abst.758	2.40E+01	2.40E+01
SP.Syn.Abst.759	3.24E+01	3.24E+01
SP.Syn.Abst.760	1.35E+01	1.35E+01
SP.Syn.Abst.761	4.18E+01	4.18E+01
SP.Syn.Abst.762	4.74E+01	4.74E+01
SP.Syn.Abst.763	3.76E+01	3.76E+01
SP.Syn.Abst.764	1.34E+01	1.34E+01
SP.Syn.Abst.765	3.09E+01	3.09E+01
SP.Syn.Abst.766	2.62E+01	2.62E+01
SP.Syn.Abst.767	1.90E+01	1.90E+01
SP.Syn.Abst.768	2.98E+01	2.98E+01
SP.Syn.Abst.769	2.41E+01	2.41E+01
SP.Syn.Abst.770	2.92E+01	2.92E+01
SP.Syn.Abst.771	4.71E+01	4.71E+01
SP.Syn.Abst.772	2.10E+01	2.10E+01
SP.Syn.Abst.773	3.32E+01	3.32E+01
SP.Syn.Abst.774	2.38E+01	2.38E+01
SP.Syn.Abst.775	2.97E+01	2.97E+01
SP.Syn.Abst.776	2.06E+01	2.06E+01
SP.Syn.Abst.777	1.72E+01	1.72E+01
SP.Syn.Abst.778	3.47E+01	3.47E+01
SP.Syn.Abst.779	1.67E+01	1.67E+01
SP.Syn.Abst.780	3.37E+01	3.37E+01
SP.Syn.Abst.781	8.75E+01	8.75E+01
SP.Syn.Abst.782	2.29E+01	2.29E+01
SP.Syn.Abst.783	4.36E+01	4.36E+01
SP.Syn.Abst.784	2.79E+01	2.79E+01
SP.Syn.Abst.785	4.13E+01	4.13E+01
SP.Syn.Abst.786	2.60E+01	2.60E+01
SP.Syn.Abst.787	2.45E+01	2.45E+01
SP.Syn.Abst.788	3.80E+01	3.80E+01
SP.Syn.Abst.789	4.35E+01	4.35E+01
SP.Syn.Abst.790	2.09E+01	2.09E+01
SP.Syn.Abst.791	2.66E+01	2.66E+01
SP.Syn.Abst.792	2.72E+01	2.72E+01
SP.Syn.Abst.793	5.32E+01	5.32E+01
SP.Syn.Abst.794	3.71E+01	3.71E+01
SP.Syn.Abst.795	3.86E+01	3.86E+01
SP.Syn.Abst.796	4.17E+01	4.17E+01
SP.Syn.Abst.797	1.82E+01	1.82E+01
SP.Syn.Abst.798	3.70E+01	3.70E+01
SP.Syn.Abst.799	2.48E+01	2.48E+01
SP.Syn.Abst.800	3.45E+01	3.45E+01
SP.Syn.Abst.801	1.87E+01	1.87E+01
SP.Syn.Abst.802	2.39E+01	2.39E+01
SP.Syn.Abst.803	2.18E+01	2.18E+01
SP.Syn.Abst.804	2.27E+01	2.27E+01
SP.Syn.Abst.805	2.09E+01	2.09E+01
SP.Syn.Abst.806	4.22E+01	4.22E+01
SP.Syn.Abst.807	2.75E+01	2.75E+01
SP.Syn.Abst.808	1.66E+01	1.66E+01
SP.Syn.Abst.809	3.32E+01	3.32E+01
SP.Syn.Abst.810	3.53E+01	3.53E+01
SP.Syn.Abst.811	2.93E+01	2.93E+01
SP.Syn.Abst.812	1.76E+01	1.76E+01
SP.Syn.Abst.813	3.65E+01	3.65E+01
SP.Syn.Abst.814	2.62E+01	2.62E+01
SP.Syn.Abst.815	3.36E+01	3.36E+01
SP.Syn.Abst.816	2.50E+01	2.50E+01
SP.Syn.Abst.817	2.97E+01	2.97E+01
SP.Syn.Abst.818	1.93E+01	1.93E+01
SP.Syn.Abst.819	3.50E+01	3.50E+01
SP.Syn.Abst.820	3.52E+01	3.52E+01
SP.Syn.Abst.821	2.98E+01	2.98E+01
SP.Syn.Abst.822	3.92E+01	3.92E+01
SP.Syn.Abst.823	1.76E+01	1.76E+01
SP.Syn.Abst.824	2.82E+01	2.82E+01
SP.Syn.Abst.825	1.82E+01	1.82E+01
SP.Syn.Abst.826	2.36E+01	2.36E+01
SP.Syn.Abst.827	3.58E+01	3.58E+01
SP.Syn.Abst.828	2.08E+01	2.08E+01
SP.Syn.Abst.829	3.00E+01	3.00E+01
SP.Syn.Abst.830	2.20E+01	2.20E+01
SP.Syn.Abst.831	2.63E+01	2.63E+01
SP.Syn.Abst.832	4.78E+01	4.78E+01
SP.Syn.Abst.833	2.87E+01	2.87E+01
SP.Syn.Abst.834	5.15E+01	5.15E+01
SP.Syn.Abst.835	4.22E+01	4.22E+01
SP.Syn.Abst.836	1.66E+01	1.66E+01
SP.Syn.Abst.837	2.96E+01	2.96E+01
SP.Syn.Abst.838	2.07E+01	2.07E+01
SP.Syn.Abst.839	5.23E+01	5.23E+01
SP.Syn.Abst.840	3.19E+01	3.19E+01
SP.Syn.Abst.841	2.63E+01	2.63E+01
SP.Syn.Abst.842	2.25E+01	2.25E+01
SP.Syn.Abst.843	5.18E+01	5.18E+01
SP.Syn.Abst.844	2.53E+01	2.53E+01
SP.Syn.Abst.845	1.93E+01	1.93E+01
SP.Syn.Abst.846	2.85E+01	2.85E+01
SP.Syn.Abst.847	2.93E+01	2.93E+01
SP.Syn.Abst.848	2.09E+01	2.09E+01
SP.Syn.Abst.849	2.36E+01	2.36E+01
SP.Syn.Abst.850	1.37E+01	1.37E+01
SP.Syn.Abst.851	2.31E+01	2.31E+01
SP.Syn.Abst.852	4.23E+01	4.23E+01
SP.Syn.Abst.853	2.70E+01	2.70E+01
SP.Syn.Abst.854	3.70E+01	3.70E+01
SP.Syn.Abst.855	3.72E+01	3.72E+01
SP.Syn.Abst.856	3.06E+01	3.06E+01
SP.Syn.Abst.857	4.25E+01	4.25E+01
SP.Syn.Abst.858	1.92E+01	1.92E+01
SP.Syn.Abst.859	3.14E+01	3.14E+01
SP.Syn.Abst.860	3.20E+01	3.20E+01
SP.Syn.Abst.861	3.27E+01	3.27E+01
SP.Syn.Abst.862	2.12E+01	2.12E+01
SP.Syn.Abst.863	2.51E+01	2.51E+01
SP.Syn.Abst.864	1.81E+01	1.81E+01
SP.Syn.Abst.865	1.67E+01	1.67E+01
SP.Syn.Abst.866	2.29E+01	2.29E+01
SP.Syn.Abst.867	3.00E+01	3.00E+01
SP.Syn.Abst.868	2.14E+01	2.14E+01
SP.Syn.Abst.869	4.02E+01	4.02E+01
SP.Syn.Abst.870	1.25E+01	1.25E+01
SP.Syn.Abst.871	3.79E+01	3.79E+01
SP.Syn.Abst.872	2.09E+01	2.09E+01
SP.Syn.Abst.873	1.76E+01	1.76E+01
SP.Syn.Abst.874	3.05E+01	3.05E+01
SP.Syn.Abst.875	2.46E+01	2.46E+01
SP.Syn.Abst.876	2.65E+01	2.65E+01
SP.Syn.Abst.877	1.54E+01	1.54E+01
SP.Syn.Abst.878	4.87E+01	4.87E+01
SP.Syn.Abst.879	2.67E+01	2.67E+01
SP.Syn.Abst.880	3.02E+01	3.02E+01
SP.Syn.Abst.881	1.64E+01	1.64E+01
SP.Syn.Abst.882	3.03E+01	3.03E+01
SP.Syn.Abst.883	5.33E+01	5.33E+01
SP.Syn.Abst.884	2.84E+01	2.84E+01
SP.Syn.Abst.885	4.25E+01	4.25E+01
SP.Syn.Abst.886	4.82E+01	4.82E+01
SP.Syn.Abst.887	2.48E+01	2.48E+01
SP.Syn.Abst.888	4.07E+01	4.07E+01
SP.Syn.Abst.889	1.99E+01	1.99E+01
SP.Syn.Abst.890	2.32E+01	2.32E+01
SP.Syn.Abst.891	4.56E+01	4.56E+01
SP.Syn.Abst.892	1.97E+01	1.97E+01
SP.Syn.Abst.893	2.95E+01	2.95E+01
SP.Syn.Abst.894	1.47E+01	1.47E+01
SP.Syn.Abst.895	1.95E+01	1.95E+01
SP.Syn.Abst.896	3.70E+01	3.70E+01
SP.Syn.Abst.897	4.57E+01	4.57E+01
SP.Syn.Abst.898	1.18E+01	1.18E+01
SP.Syn.Abst.899	2.59E+01	2.59E+01
SP.Syn.Abst.900	2.13E+01	2.13E+01
SP.Syn.Abst.901	2.06E+01	2.06E+01
SP.Syn.Abst.902	2.16E+01	2.16E+01
SP.Syn.Abst.903	2.44E+01	2.44E+01
SP.Syn.Abst.904	3.30E+01	3.30E+01
SP.Syn.Abst.905	1.95E+01	1.95E+01
SP.Syn.Abst.906	4.68E+01	4.68E+01
SP.Syn.Abst.907	2.01E+01	2.01E+01
SP.Syn.Abst.908	3.40E+01	3.40E+01
SP.Syn.Abst.909	3.27E+01	3.27E+01
SP.Syn.Abst.910	2.64E+01	2.64E+01
SP.Syn.Abst.911	1.78E+01	1.78E+01
SP.Syn.Abst.912	5.43E+01	5.43E+01
SP.Syn.Abst.913	3.65E+01	3.65E+01
SP.Syn.Abst.914	2.63E+01	2.63E+01
SP.Syn.Abst.915	3.39E+01	3.39E+01
SP.Syn.Abst.916	3.79E+01	3.79E+01
SP.Syn.Abst.917	2.13E+01	2.13E+01
SP.Syn.Abst.918	2.21E+01	2.21E+01
SP.Syn.Abst.919	3.23E+01	3.23E+01
SP.Syn.Abst.920	1.94E+01	1.94E+01
SP.Syn.Abst.921	2.95E+01	2.95E+01
SP.Syn.Abst.922	2.92E+01	2.92E+01
SP.Syn.Abst.923	2.48E+01	2.48E+01
SP.Syn.Abst.924	2.81E+01	2.81E+01
SP.Syn.Abst.925	2.18E+01	2.18E+01
SP.Syn.Abst.926	3.40E+01	3.40E+01
SP.Syn.Abst.927	4.45E+01	4.45E+01
SP.Syn.Abst.928	5.37E+01	5.37E+01
SP.Syn.Abst.929	1.77E+01	1.77E+01
SP.Syn.Abst.930	6.74E+01	6.74E+01
SP.Syn.Abst.931	1.92E+01	1.92E+01
SP.Syn.Abst.932	3.13E+01	3.13E+01
SP.Syn.Abst.933	2.80E+01	2.80E+01
SP.Syn.Abst.934	4.08E+01	4.08E+01
SP.Syn.Abst.935	1.61E+01	1.61E+01
SP.Syn.Abst.936	4.72E+01	4.72E+01
SP.Syn.Abst.937	2.11E+01	2.11E+01
SP.Syn.Abst.938	2.28E+01	2.28E+01
SP.Syn.Abst.939	1.92E+01	1.92E+01
SP.Syn.Abst.940	2.65E+01	2.65E+01
SP.Syn.Abst.941	3.30E+01	3.30E+01
SP.Syn.Abst.942	2.05E+01	2.05E+01
SP.Syn.Abst.943	2.34E+01	2.34E+01
SP.Syn.Abst.944	2.39E+01	2.39E+01
SP.Syn.Abst.945	2.25E+01	2.25E+01
SP.Syn.Abst.946	1.66E+01	1.66E+01
SP.Syn.Abst.947	1.40E+01	1.40E+01
SP.Syn.Abst.948	4.80E+01	4.80E+01
SP.Syn.Abst.949	2.34E+01	2.34E+01
SP.Syn.Abst.950	2.00E+01	2.00E+01
SP.Syn.Abst.951	2.81E+01	2.81E+01
SP.Syn.Abst.952	3.10E+01	3.10E+01
SP.Syn.Abst.953	3.11E+01	3.11E+01
SP.Syn.Abst.954	2.01E+01	2.01E+01
SP.Syn.Abst.955	2.42E+01	2.42E+01
SP.Syn.Abst.956	3.12E+01	3.12E+01
SP.Syn.Abst.957	3.74E+01	3.74E+01
SP.Syn.Abst.958	1.83E+01	1.83E+01
SP.Syn.Abst.959	2.77E+01	2.77E+01
SP.Syn.Abst.960	1.41E+01	1.41E+01
SP.Syn.Abst.961	4.92E+01	4.92E+01
SP.Syn.Abst.962	3.09E+01	3.09E+01
SP.Syn.Abst.963	3.46E+01	3.46E+01
SP.Syn.Abst.964	5.58E+01	5.58E+01
SP.Syn.Abst.965	4.03E+01	4.03E+01
SP.Syn.Abst.966	2.80E+01	2.80E+01
SP.Syn.Abst.967	3.84E+01	3.84E+01
SP.Syn.Abst.968	1.90E+01	1.90E+01
SP.Syn.Abst.969	2.73E+01	2.73E+01
SP.Syn.Abst.970	2.53E+01	2.53E+01
SP.Syn.Abst.971	3.77E+01	3.77E+01
SP.Syn.Abst.972	1.54E+01	1.54E+01
SP.Syn.Abst.973	3.86E+01	3.86E+01
SP.Syn.Abst.974	1.97E+01	1.97E+01
SP.Syn.Abst.975	1.54E+01	1.54E+01
SP.Syn.Abst.976	3.68E+01	3.68E+01
SP.Syn.Abst.977	2.92E+01	2.92E+01
SP.Syn.Abst.978	2.44E+01	2.44E+01
SP.Syn.Abst.979	4.68E+01	4.68E+01
SP.Syn.Abst.980	2.91E+01	2.91E+01
SP.Syn.Abst.981	2.54E+01	2.54E+01
SP.Syn.Abst.982	2.91E+01	2.91E+01
SP.Syn.Abst.983	3.69E+01	3.69E+01
SP.Syn.Abst.984	2.41E+01	2.41E+01
SP.Syn.Abst.985	3.57E+01	3.57E+01
SP.Syn.Abst.986	2.81E+01	2.81E+01
SP.Syn.Abst.987	3.64E+01	3.64E+01
SP.Syn.Abst.988	2.63E+01	2.63E+01
SP.Syn.Abst.989	1.49E+01	1.49E+01
SP.Syn.Abst.990	3.22E+01	3.22E+01
SP.Syn.Abst.991	2.71E+01	2.71E+01
SP.Syn.Abst.992	1.69E+01	1.69E+01
SP.Syn.Abst.993	2.68E+01	2.68E+01
SP.Syn.Abst.994	2.80E+01	2.80E+01
SP.Syn.Abst.995	1.98E+01	1.98E+01
SP.Syn.Abst.996	3.15E+01	3.15E+01
SP.Syn.Abst.997	2.13E+01	2.13E+01
SP.Syn.Abst.998	2.15E+01	2.15E+01
SP.Syn.Abst.999	2.38E+01	2.38E+01
SP.Syn.Abst.1000	3.05E+01	3.05E+01
