Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.411	3.60E+01	3.55E+01	2.33E+01
SP.Syn.Abst.412	2.52E+01	2.67E+01	1.31E+01
SP.Syn.Abst.413	3.14E+01	3.11E+01	2.00E+01
SP.Syn.Abst.414	2.00E+01	2.06E+01	1.28E+01
SP.Syn.Abst.415	2.28E+01	2.20E+01	1.55E+01
SP.Syn.Abst.416	1.34E+01	1.83E+01	1.99E+01
SP.Syn.Abst.417	2.24E+01	2.45E+01	2.69E+01
SP.Syn.Abst.418	3.94E+01	6.24E+01	6.05E+01
SP.Syn.Abst.419	3.23E+01	2.79E+01	2.67E+01
SP.Syn.Abst.420	3.62E+01	3.52E+01	2.24E+01
SP.Syn.Abst.421	4.23E+01	7.26E+01	6.95E+01
SP.Syn.Abst.422	4.36E+01	4.16E+01	1.93E+01
SP.Syn.Abst.423	2.57E+01	2.46E+01	1.44E+01
SP.Syn.Abst.424	2.06E+01	2.39E+01	2.04E+01
SP.Syn.Abst.425	1.82E+01	2.18E+01	2.03E+01
SP.Syn.Abst.426	2.17E+01	2.23E+01	2.07E+01
SP.Syn.Abst.427	1.56E+01	1.59E+01	3.01E+00
SP.Syn.Abst.428	6.75E+01	6.54E+01	1.93E+01
SP.Syn.Abst.429	1.87E+01	2.08E+01	1.73E+01
SP.Syn.Abst.430	1.14E+01	2.19E+01	2.21E+01
SP.Syn.Abst.431	2.55E+01	3.94E+01	3.74E+01
SP.Syn.Abst.432	1.22E+01	1.71E+01	1.84E+01
SP.Syn.Abst.433	3.19E+01	2.87E+01	1.88E+01
SP.Syn.Abst.434	1.89E+01	2.82E+01	3.34E+01
SP.Syn.Abst.435	2.10E+01	2.11E+01	1.73E+01
SP.Syn.Abst.436	3.96E+01	3.56E+01	4.10E+01
SP.Syn.Abst.437	1.63E+01	1.56E+01	1.42E+01
SP.Syn.Abst.438	2.92E+01	4.58E+01	5.21E+01
SP.Syn.Abst.439	1.53E+01	2.00E+01	1.98E+01
SP.Syn.Abst.440	1.47E+01	1.92E+01	2.07E+01
SP.Syn.Abst.441	2.52E+01	2.12E+01	2.30E+01
SP.Syn.Abst.442	1.91E+01	1.96E+01	1.50E+01
SP.Syn.Abst.443	2.96E+01	2.33E+01	2.10E+01
SP.Syn.Abst.444	2.05E+01	2.15E+01	1.26E+01
SP.Syn.Abst.445	3.66E+01	3.60E+01	2.13E+01
SP.Syn.Abst.446	2.18E+01	2.41E+01	2.30E+01
SP.Syn.Abst.447	2.55E+01	2.76E+01	1.09E+01
SP.Syn.Abst.448	2.25E+01	3.37E+01	3.44E+01
SP.Syn.Abst.449	2.71E+01	2.59E+01	2.04E+01
SP.Syn.Abst.450	2.77E+01	2.80E+01	1.42E+01
SP.Syn.Abst.451	2.85E+01	2.88E+01	1.43E+01
SP.Syn.Abst.452	2.63E+01	2.55E+01	1.84E+01
SP.Syn.Abst.453	2.60E+01	2.62E+01	1.71E+01
SP.Syn.Abst.454	3.81E+01	3.81E+01	1.32E+01
SP.Syn.Abst.455	3.26E+01	3.28E+01	1.46E+01
SP.Syn.Abst.456	3.15E+01	2.99E+01	1.80E+01
SP.Syn.Abst.457	3.15E+01	5.05E+01	5.29E+01
SP.Syn.Abst.458	2.21E+01	2.36E+01	1.77E+01
SP.Syn.Abst.459	2.17E+01	2.68E+01	3.18E+01
SP.Syn.Abst.460	2.62E+01	2.73E+01	1.62E+01
SP.Syn.Abst.461	2.24E+01	2.11E+01	1.49E+01
SP.Syn.Abst.462	3.38E+01	4.53E+01	4.84E+01
SP.Syn.Abst.463	1.94E+01	2.22E+01	2.64E+01
SP.Syn.Abst.464	1.78E+01	1.98E+01	1.85E+01
SP.Syn.Abst.465	2.65E+01	2.63E+01	1.80E+01
SP.Syn.Abst.466	3.86E+01	4.13E+01	1.82E+01
SP.Syn.Abst.467	2.69E+01	2.59E+01	2.30E+01
SP.Syn.Abst.468	2.39E+01	2.19E+01	2.04E+01
SP.Syn.Abst.469	1.16E+01	1.15E+01	3.07E+00
SP.Syn.Abst.470	5.53E+01	5.35E+01	2.01E+01
SP.Syn.Abst.471	2.31E+01	2.56E+01	3.18E+01
SP.Syn.Abst.472	4.52E+01	4.07E+01	2.56E+01
SP.Syn.Abst.473	3.22E+01	3.37E+01	3.13E+01
SP.Syn.Abst.474	2.67E+01	2.51E+01	1.97E+01
SP.Syn.Abst.475	2.82E+01	2.96E+01	1.35E+01
SP.Syn.Abst.476	3.36E+01	2.86E+01	2.53E+01
SP.Syn.Abst.477	3.24E+01	2.56E+01	2.57E+01
SP.Syn.Abst.478	3.31E+01	3.43E+01	1.43E+01
SP.Syn.Abst.479	1.79E+01	1.93E+01	1.88E+01
SP.Syn.Abst.480	2.50E+01	2.78E+01	3.33E+01
SP.Syn.Abst.481	2.22E+01	2.03E+01	2.16E+01
SP.Syn.Abst.482	2.82E+01	2.85E+01	2.07E+01
SP.Syn.Abst.483	6.91E+01	6.02E+01	4.78E+01
SP.Syn.Abst.484	2.78E+01	2.42E+01	2.87E+01
SP.Syn.Abst.485	1.65E+01	2.63E+01	2.75E+01
SP.Syn.Abst.486	4.30E+01	4.03E+01	1.92E+01
SP.Syn.Abst.487	1.08E+01	1.72E+01	1.64E+01
SP.Syn.Abst.488	1.21E+01	1.83E+01	1.87E+01
SP.Syn.Abst.489	3.73E+01	3.34E+01	1.50E+01
SP.Syn.Abst.490	1.85E+01	1.87E+01	3.64E+00
SP.Syn.Abst.491	1.74E+01	2.35E+01	2.50E+01
SP.Syn.Abst.492	1.93E+01	1.86E+01	1.33E+01
SP.Syn.Abst.493	2.09E+01	2.29E+01	2.07E+01
SP.Syn.Abst.494	1.96E+01	2.05E+01	1.55E+01
SP.Syn.Abst.495	3.89E+01	6.55E+01	5.96E+01
SP.Syn.Abst.496	1.87E+01	2.12E+01	1.09E+01
SP.Syn.Abst.497	2.31E+01	2.46E+01	1.06E+01
SP.Syn.Abst.498	3.53E+01	3.40E+01	1.38E+01
SP.Syn.Abst.499	3.46E+01	3.17E+01	2.14E+01
SP.Syn.Abst.500	4.14E+01	6.75E+01	7.09E+01
SP.Syn.Abst.501	1.96E+01	3.27E+01	3.47E+01
SP.Syn.Abst.502	2.35E+01	2.24E+01	1.93E+01
SP.Syn.Abst.503	1.84E+01	2.62E+01	2.36E+01
SP.Syn.Abst.504	2.02E+01	2.58E+01	2.73E+01
SP.Syn.Abst.505	3.24E+01	2.90E+01	1.78E+01
SP.Syn.Abst.506	3.79E+01	3.46E+01	2.01E+01
SP.Syn.Abst.507	1.44E+01	1.56E+01	1.58E+01
SP.Syn.Abst.508	3.60E+01	2.94E+01	2.75E+01
SP.Syn.Abst.509	3.47E+01	5.87E+01	5.24E+01
SP.Syn.Abst.510	2.54E+01	2.57E+01	3.03E+01
SP.Syn.Abst.511	3.09E+01	3.07E+01	1.87E+01
SP.Syn.Abst.512	2.49E+01	2.27E+01	2.59E+01
SP.Syn.Abst.513	2.72E+01	2.53E+01	1.29E+01
SP.Syn.Abst.514	2.10E+01	2.37E+01	1.85E+01
SP.Syn.Abst.515	4.24E+01	3.68E+01	2.29E+01
SP.Syn.Abst.516	2.20E+01	2.83E+01	3.01E+01
SP.Syn.Abst.517	2.51E+01	2.65E+01	1.88E+01
SP.Syn.Abst.518	1.35E+01	2.52E+01	2.43E+01
SP.Syn.Abst.519	2.66E+01	2.34E+01	2.09E+01
SP.Syn.Abst.520	2.00E+01	2.32E+01	2.77E+01
SP.Syn.Abst.521	8.09E+00	9.47E+00	8.74E+00
SP.Syn.Abst.522	5.33E+01	4.76E+01	2.53E+01
SP.Syn.Abst.523	1.49E+01	2.45E+01	2.61E+01
SP.Syn.Abst.524	1.25E+01	1.97E+01	2.07E+01
SP.Syn.Abst.525	2.68E+01	2.75E+01	1.67E+01
SP.Syn.Abst.526	2.33E+01	2.69E+01	2.96E+01
SP.Syn.Abst.527	3.65E+01	3.86E+01	2.70E+01
SP.Syn.Abst.528	4.00E+01	3.92E+01	1.61E+01
SP.Syn.Abst.529	2.06E+01	2.15E+01	1.97E+01
SP.Syn.Abst.530	2.32E+01	2.08E+01	1.68E+01
SP.Syn.Abst.531	7.61E+00	7.66E+00	1.57E+00
SP.Syn.Abst.532	2.41E+01	2.32E+01	1.21E+01
SP.Syn.Abst.533	2.58E+01	2.96E+01	3.66E+01
SP.Syn.Abst.534	2.14E+01	3.17E+01	3.31E+01
SP.Syn.Abst.535	2.96E+01	2.95E+01	2.59E+01
SP.Syn.Abst.536	1.91E+01	1.84E+01	1.32E+01
SP.Syn.Abst.537	3.08E+01	4.40E+01	4.56E+01
SP.Syn.Abst.538	2.18E+01	2.22E+01	2.30E+01
SP.Syn.Abst.539	4.03E+01	3.68E+01	2.08E+01
SP.Syn.Abst.540	3.96E+01	3.64E+01	2.67E+01
SP.Syn.Abst.541	2.28E+01	2.26E+01	1.63E+01
SP.Syn.Abst.542	2.24E+01	2.05E+01	1.87E+01
SP.Syn.Abst.543	4.26E+01	3.84E+01	2.61E+01
SP.Syn.Abst.544	2.20E+01	2.22E+01	1.72E+01
SP.Syn.Abst.545	2.15E+01	2.09E+01	2.09E+01
SP.Syn.Abst.546	2.78E+01	3.67E+01	4.24E+01
SP.Syn.Abst.547	1.91E+01	2.03E+01	1.90E+01
SP.Syn.Abst.548	1.51E+01	1.76E+01	1.69E+01
SP.Syn.Abst.549	1.81E+01	1.97E+01	2.32E+01
SP.Syn.Abst.550	1.74E+01	1.52E+01	1.14E+01
SP.Syn.Abst.551	2.73E+01	4.77E+01	4.92E+01
SP.Syn.Abst.552	3.74E+01	3.73E+01	2.21E+01
SP.Syn.Abst.553	1.58E+01	1.71E+01	1.73E+01
SP.Syn.Abst.554	1.40E+01	2.06E+01	2.16E+01
SP.Syn.Abst.555	2.50E+01	2.52E+01	1.95E+01
SP.Syn.Abst.556	1.02E+01	1.94E+01	1.93E+01
SP.Syn.Abst.557	2.27E+01	3.34E+01	3.61E+01
SP.Syn.Abst.558	1.78E+01	2.79E+01	3.28E+01
SP.Syn.Abst.559	3.24E+01	2.98E+01	1.83E+01
SP.Syn.Abst.560	2.45E+01	2.14E+01	1.84E+01
SP.Syn.Abst.561	2.95E+01	3.10E+01	1.35E+01
SP.Syn.Abst.562	2.48E+01	2.64E+01	2.56E+01
SP.Syn.Abst.563	3.41E+01	3.09E+01	2.36E+01
SP.Syn.Abst.564	5.61E+01	5.08E+01	2.60E+01
SP.Syn.Abst.565	4.59E+01	4.73E+01	1.73E+01
SP.Syn.Abst.566	4.48E+01	4.32E+01	3.28E+01
SP.Syn.Abst.567	1.91E+01	2.14E+01	2.47E+01
SP.Syn.Abst.568	2.37E+01	2.43E+01	1.40E+01
SP.Syn.Abst.569	2.27E+01	2.14E+01	1.25E+01
SP.Syn.Abst.570	2.83E+01	2.87E+01	1.35E+01
SP.Syn.Abst.571	3.88E+01	3.90E+01	1.37E+01
SP.Syn.Abst.572	3.61E+01	3.37E+01	2.15E+01
SP.Syn.Abst.573	1.57E+01	1.56E+01	1.34E+01
SP.Syn.Abst.574	1.68E+01	1.93E+01	1.68E+01
SP.Syn.Abst.575	3.36E+01	3.59E+01	2.00E+01
SP.Syn.Abst.576	3.91E+01	3.70E+01	1.61E+01
SP.Syn.Abst.577	2.66E+01	2.51E+01	1.93E+01
SP.Syn.Abst.578	2.62E+01	2.50E+01	1.74E+01
SP.Syn.Abst.579	2.07E+01	2.27E+01	2.47E+01
SP.Syn.Abst.580	2.53E+01	2.89E+01	2.92E+01
SP.Syn.Abst.581	1.62E+01	1.87E+01	1.76E+01
SP.Syn.Abst.582	2.25E+01	2.28E+01	1.74E+01
SP.Syn.Abst.583	1.49E+01	2.02E+01	1.92E+01
SP.Syn.Abst.584	3.05E+01	3.09E+01	7.74E+00
SP.Syn.Abst.585	2.93E+01	2.89E+01	3.09E+01
SP.Syn.Abst.586	4.80E+01	7.93E+01	7.45E+01
SP.Syn.Abst.587	2.63E+01	2.79E+01	1.62E+01
SP.Syn.Abst.588	2.12E+01	2.11E+01	1.73E+01
SP.Syn.Abst.589	2.52E+01	2.56E+01	2.96E+01
SP.Syn.Abst.590	2.57E+01	3.79E+01	3.78E+01
SP.Syn.Abst.591	1.27E+01	1.47E+01	1.57E+01
SP.Syn.Abst.592	6.71E+01	5.62E+01	4.77E+01
SP.Syn.Abst.593	1.71E+01	1.53E+01	1.23E+01
SP.Syn.Abst.594	3.07E+01	2.70E+01	2.57E+01
SP.Syn.Abst.595	2.35E+01	2.29E+01	2.15E+01
SP.Syn.Abst.596	2.50E+01	2.24E+01	1.49E+01
SP.Syn.Abst.597	1.51E+01	2.10E+01	2.32E+01
SP.Syn.Abst.598	3.20E+01	3.09E+01	1.74E+01
SP.Syn.Abst.599	1.50E+01	2.18E+01	2.35E+01
SP.Syn.Abst.600	1.27E+01	1.48E+01	1.30E+01
SP.Syn.Abst.601	2.49E+01	2.47E+01	1.98E+01
SP.Syn.Abst.602	2.76E+01	2.97E+01	3.87E+01
SP.Syn.Abst.603	2.51E+01	3.07E+01	3.45E+01
SP.Syn.Abst.604	1.03E+01	1.68E+01	1.54E+01
SP.Syn.Abst.605	1.44E+01	1.57E+01	1.45E+01
SP.Syn.Abst.606	3.72E+01	3.54E+01	1.63E+01
SP.Syn.Abst.607	3.12E+01	3.38E+01	2.76E+01
SP.Syn.Abst.608	1.64E+01	1.68E+01	1.14E+01
SP.Syn.Abst.609	2.40E+01	2.27E+01	1.46E+01
SP.Syn.Abst.610	2.22E+01	2.17E+01	2.04E+01
SP.Syn.Abst.611	3.43E+01	3.10E+01	2.36E+01
SP.Syn.Abst.612	1.91E+01	2.57E+01	2.87E+01
SP.Syn.Abst.613	2.15E+01	2.14E+01	2.34E+01
SP.Syn.Abst.614	1.99E+01	2.07E+01	9.29E+00
SP.Syn.Abst.615	2.50E+01	2.51E+01	2.31E+01
SP.Syn.Abst.616	1.56E+01	1.75E+01	1.30E+01
SP.Syn.Abst.617	1.54E+01	2.44E+01	2.61E+01
SP.Syn.Abst.618	4.70E+01	3.75E+01	2.35E+01
SP.Syn.Abst.619	3.67E+01	3.40E+01	3.30E+01
SP.Syn.Abst.620	2.21E+01	2.49E+01	2.49E+01
SP.Syn.Abst.621	2.65E+01	2.87E+01	2.70E+01
SP.Syn.Abst.622	2.38E+01	2.58E+01	1.90E+01
SP.Syn.Abst.623	2.92E+01	2.79E+01	1.97E+01
SP.Syn.Abst.624	3.38E+01	3.06E+01	2.89E+01
SP.Syn.Abst.625	1.56E+01	1.95E+01	1.80E+01
SP.Syn.Abst.626	2.70E+01	2.74E+01	1.35E+01
SP.Syn.Abst.627	1.38E+01	2.16E+01	2.14E+01
SP.Syn.Abst.628	2.50E+01	3.57E+01	3.92E+01
SP.Syn.Abst.629	1.82E+01	2.87E+01	2.94E+01
SP.Syn.Abst.630	1.83E+01	1.83E+01	1.48E+01
SP.Syn.Abst.631	3.52E+01	3.43E+01	2.09E+01
SP.Syn.Abst.632	1.49E+01	1.76E+01	1.10E+01
SP.Syn.Abst.633	5.17E+01	4.86E+01	1.84E+01
SP.Syn.Abst.634	3.46E+01	2.86E+01	2.51E+01
SP.Syn.Abst.635	2.15E+01	2.16E+01	1.09E+01
SP.Syn.Abst.636	1.75E+01	2.16E+01	2.27E+01
SP.Syn.Abst.637	1.94E+01	2.22E+01	2.25E+01
SP.Syn.Abst.638	3.16E+01	2.97E+01	1.62E+01
SP.Syn.Abst.639	4.28E+01	3.96E+01	2.30E+01
SP.Syn.Abst.640	2.64E+01	2.64E+01	1.95E+01
SP.Syn.Abst.641	1.39E+01	2.16E+01	2.10E+01
SP.Syn.Abst.642	1.04E+01	9.81E+00	1.03E+01
SP.Syn.Abst.643	3.30E+01	4.43E+01	4.85E+01
SP.Syn.Abst.644	2.25E+01	2.34E+01	9.47E+00
SP.Syn.Abst.645	1.64E+01	2.39E+01	2.44E+01
SP.Syn.Abst.646	1.39E+01	1.18E+01	1.35E+01
SP.Syn.Abst.647	3.12E+01	3.18E+01	1.94E+01
SP.Syn.Abst.648	3.29E+01	3.03E+01	1.89E+01
SP.Syn.Abst.649	1.59E+01	2.03E+01	2.28E+01
SP.Syn.Abst.650	2.19E+01	2.34E+01	1.31E+01
SP.Syn.Abst.651	2.20E+01	2.54E+01	2.48E+01
SP.Syn.Abst.652	2.96E+01	2.79E+01	1.84E+01
SP.Syn.Abst.653	1.64E+01	1.74E+01	1.52E+01
SP.Syn.Abst.654	2.66E+01	2.42E+01	1.74E+01
SP.Syn.Abst.655	2.23E+01	2.36E+01	2.08E+01
SP.Syn.Abst.656	3.00E+01	2.65E+01	1.81E+01
SP.Syn.Abst.657	1.41E+01	1.46E+01	1.46E+01
SP.Syn.Abst.658	4.69E+01	4.51E+01	2.30E+01
SP.Syn.Abst.659	1.67E+01	1.79E+01	2.10E+01
SP.Syn.Abst.660	1.52E+01	1.96E+01	2.10E+01
SP.Syn.Abst.661	2.30E+01	2.58E+01	1.91E+01
SP.Syn.Abst.662	3.55E+01	3.58E+01	1.72E+01
SP.Syn.Abst.663	2.19E+01	2.66E+01	3.20E+01
SP.Syn.Abst.664	1.83E+01	1.93E+01	1.67E+01
SP.Syn.Abst.665	2.40E+01	2.54E+01	1.57E+01
SP.Syn.Abst.666	1.72E+01	1.82E+01	1.14E+01
SP.Syn.Abst.667	2.97E+01	3.18E+01	3.98E+01
SP.Syn.Abst.668	1.23E+01	1.45E+01	1.07E+01
SP.Syn.Abst.669	4.32E+01	4.10E+01	1.85E+01
SP.Syn.Abst.670	2.59E+01	2.00E+01	1.71E+01
SP.Syn.Abst.671	2.11E+01	2.12E+01	1.92E+01
SP.Syn.Abst.672	4.65E+01	4.09E+01	2.56E+01
SP.Syn.Abst.673	2.86E+01	2.98E+01	1.56E+01
SP.Syn.Abst.674	2.49E+01	2.36E+01	1.81E+01
SP.Syn.Abst.675	2.75E+01	2.73E+01	1.65E+01
SP.Syn.Abst.676	1.49E+01	1.97E+01	2.01E+01
SP.Syn.Abst.677	2.76E+01	2.75E+01	2.53E+01
SP.Syn.Abst.678	4.66E+01	4.57E+01	1.36E+01
SP.Syn.Abst.679	2.54E+01	2.52E+01	2.11E+01
SP.Syn.Abst.680	2.39E+01	2.17E+01	1.72E+01
SP.Syn.Abst.681	2.39E+01	2.51E+01	1.68E+01
SP.Syn.Abst.682	2.31E+01	2.36E+01	1.43E+01
SP.Syn.Abst.683	1.92E+01	1.79E+01	1.40E+01
SP.Syn.Abst.684	2.35E+01	2.44E+01	9.51E+00
SP.Syn.Abst.685	2.03E+01	1.91E+01	1.83E+01
SP.Syn.Abst.686	4.33E+01	4.37E+01	1.79E+01
SP.Syn.Abst.687	2.63E+01	3.00E+01	3.18E+01
SP.Syn.Abst.688	2.05E+01	2.53E+01	2.64E+01
SP.Syn.Abst.689	4.90E+01	8.39E+01	8.11E+01
SP.Syn.Abst.690	2.69E+01	2.37E+01	1.77E+01
SP.Syn.Abst.691	4.83E+01	3.87E+01	2.87E+01
SP.Syn.Abst.692	2.30E+01	2.45E+01	1.07E+01
SP.Syn.Abst.693	1.62E+01	1.91E+01	1.06E+01
SP.Syn.Abst.694	3.55E+01	4.64E+01	5.35E+01
SP.Syn.Abst.695	4.47E+01	4.19E+01	1.62E+01
SP.Syn.Abst.696	4.32E+01	4.78E+01	4.00E+01
SP.Syn.Abst.697	4.35E+01	3.55E+01	2.40E+01
SP.Syn.Abst.698	4.48E+01	4.39E+01	2.08E+01
SP.Syn.Abst.699	3.18E+01	2.82E+01	1.95E+01
SP.Syn.Abst.700	1.41E+01	1.48E+01	1.19E+01
SP.Syn.Abst.701	2.67E+01	2.57E+01	2.34E+01
SP.Syn.Abst.702	1.70E+01	1.76E+01	1.84E+01
SP.Syn.Abst.703	2.10E+01	2.12E+01	1.52E+01
SP.Syn.Abst.704	2.54E+01	3.05E+01	2.51E+01
SP.Syn.Abst.705	1.87E+01	3.18E+01	2.90E+01
SP.Syn.Abst.706	1.68E+01	1.83E+01	1.66E+01
SP.Syn.Abst.707	1.60E+01	2.56E+01	2.69E+01
SP.Syn.Abst.708	1.51E+01	1.71E+01	1.48E+01
SP.Syn.Abst.709	3.43E+01	5.98E+01	6.93E+01
SP.Syn.Abst.710	3.00E+01	2.47E+01	2.50E+01
SP.Syn.Abst.711	2.51E+01	2.49E+01	2.29E+01
SP.Syn.Abst.712	2.91E+01	2.88E+01	1.44E+01
SP.Syn.Abst.713	2.19E+01	2.92E+01	3.38E+01
SP.Syn.Abst.714	1.93E+01	3.27E+01	3.11E+01
SP.Syn.Abst.715	2.27E+01	2.83E+01	3.01E+01
SP.Syn.Abst.716	3.10E+01	3.15E+01	2.37E+01
SP.Syn.Abst.717	3.21E+01	3.62E+01	4.39E+01
SP.Syn.Abst.718	4.04E+01	3.33E+01	2.25E+01
SP.Syn.Abst.719	1.83E+01	1.70E+01	1.33E+01
SP.Syn.Abst.720	1.84E+01	2.81E+01	2.90E+01
SP.Syn.Abst.721	2.20E+01	2.38E+01	2.18E+01
SP.Syn.Abst.722	2.93E+01	2.93E+01	1.11E+01
SP.Syn.Abst.723	3.34E+01	3.28E+01	2.12E+01
SP.Syn.Abst.724	3.29E+01	3.01E+01	1.67E+01
SP.Syn.Abst.725	3.40E+01	3.42E+01	2.22E+01
SP.Syn.Abst.726	2.07E+01	2.17E+01	2.74E+01
SP.Syn.Abst.727	1.99E+01	2.13E+01	1.29E+01
SP.Syn.Abst.728	2.71E+01	2.56E+01	1.69E+01
SP.Syn.Abst.729	7.17E+01	5.94E+01	3.06E+01
SP.Syn.Abst.730	1.78E+01	1.84E+01	1.20E+01
SP.Syn.Abst.731	2.25E+01	2.46E+01	1.86E+01
SP.Syn.Abst.732	2.16E+01	2.10E+01	1.27E+01
SP.Syn.Abst.733	1.57E+01	1.62E+01	1.68E+01
SP.Syn.Abst.734	3.49E+01	3.51E+01	1.37E+01
SP.Syn.Abst.735	1.49E+01	2.43E+01	2.47E+01
SP.Syn.Abst.736	3.37E+01	2.96E+01	2.51E+01
SP.Syn.Abst.737	2.70E+01	2.43E+01	2.19E+01
SP.Syn.Abst.738	2.02E+01	2.23E+01	2.11E+01
SP.Syn.Abst.739	3.47E+01	4.01E+01	5.07E+01
SP.Syn.Abst.740	2.37E+01	2.52E+01	3.06E+01
SP.Syn.Abst.741	1.86E+01	1.76E+01	1.36E+01
SP.Syn.Abst.742	2.17E+01	2.07E+01	2.41E+01
SP.Syn.Abst.743	2.89E+01	2.56E+01	2.17E+01
SP.Syn.Abst.744	3.48E+01	3.35E+01	2.89E+01
SP.Syn.Abst.745	2.32E+01	3.53E+01	3.89E+01
SP.Syn.Abst.746	4.42E+01	4.39E+01	1.73E+01
SP.Syn.Abst.747	3.05E+01	3.03E+01	1.04E+01
SP.Syn.Abst.748	2.45E+01	2.51E+01	2.12E+01
SP.Syn.Abst.749	1.42E+01	8.39E+00	1.46E+01
SP.Syn.Abst.750	1.74E+01	2.16E+01	1.91E+01
SP.Syn.Abst.751	2.46E+01	3.33E+01	3.29E+01
SP.Syn.Abst.752	1.59E+01	1.59E+01	1.56E+01
SP.Syn.Abst.753	1.99E+01	2.05E+01	1.50E+01
SP.Syn.Abst.754	4.14E+01	3.68E+01	2.18E+01
SP.Syn.Abst.755	2.71E+01	2.76E+01	2.03E+01
SP.Syn.Abst.756	2.58E+01	2.69E+01	2.52E+01
SP.Syn.Abst.757	1.53E+01	1.66E+01	1.41E+01
SP.Syn.Abst.758	1.82E+01	2.45E+01	2.22E+01
SP.Syn.Abst.759	2.68E+01	3.00E+01	3.54E+01
SP.Syn.Abst.760	9.74E+00	1.39E+01	1.35E+01
SP.Syn.Abst.761	4.25E+01	4.11E+01	1.60E+01
SP.Syn.Abst.762	4.35E+01	4.36E+01	1.82E+01
SP.Syn.Abst.763	3.31E+01	3.12E+01	2.44E+01
SP.Syn.Abst.764	1.21E+01	1.28E+01	8.32E+00
SP.Syn.Abst.765	3.06E+01	2.97E+01	1.97E+01
SP.Syn.Abst.766	2.17E+01	2.43E+01	2.12E+01
SP.Syn.Abst.767	3.41E+01	5.28E+01	4.74E+01
SP.Syn.Abst.768	2.17E+01	3.15E+01	3.31E+01
SP.Syn.Abst.769	2.44E+01	2.50E+01	1.42E+01
SP.Syn.Abst.770	2.01E+01	2.58E+01	2.18E+01
SP.Syn.Abst.771	5.58E+01	5.39E+01	1.79E+01
SP.Syn.Abst.772	1.90E+01	2.03E+01	1.64E+01
SP.Syn.Abst.773	3.10E+01	2.86E+01	3.01E+01
SP.Syn.Abst.774	1.85E+01	2.24E+01	2.55E+01
SP.Syn.Abst.775	3.40E+01	3.47E+01	1.07E+01
SP.Syn.Abst.776	1.97E+01	2.01E+01	1.72E+01
SP.Syn.Abst.777	1.37E+01	1.43E+01	1.29E+01
SP.Syn.Abst.778	3.38E+01	3.23E+01	1.64E+01
SP.Syn.Abst.779	1.76E+01	1.79E+01	1.56E+01
SP.Syn.Abst.780	3.17E+01	2.81E+01	2.01E+01
SP.Syn.Abst.781	5.61E+01	1.05E+02	1.13E+02
SP.Syn.Abst.782	2.55E+01	4.42E+01	3.87E+01
SP.Syn.Abst.783	3.67E+01	3.07E+01	3.37E+01
SP.Syn.Abst.784	2.31E+01	2.36E+01	2.01E+01
SP.Syn.Abst.785	3.64E+01	3.94E+01	1.83E+01
SP.Syn.Abst.786	2.47E+01	2.31E+01	2.20E+01
SP.Syn.Abst.787	2.36E+01	2.65E+01	1.25E+01
SP.Syn.Abst.788	3.45E+01	3.22E+01	2.26E+01
SP.Syn.Abst.789	5.26E+01	5.19E+01	1.84E+01
SP.Syn.Abst.790	1.94E+01	3.32E+01	3.23E+01
SP.Syn.Abst.791	2.37E+01	2.56E+01	2.65E+01
SP.Syn.Abst.792	2.65E+01	2.52E+01	1.43E+01
SP.Syn.Abst.793	4.55E+01	4.58E+01	2.17E+01
SP.Syn.Abst.794	3.79E+01	3.40E+01	1.90E+01
SP.Syn.Abst.795	3.02E+01	3.02E+01	3.78E+01
SP.Syn.Abst.796	3.63E+01	3.52E+01	3.75E+01
SP.Syn.Abst.797	1.57E+01	1.80E+01	1.71E+01
SP.Syn.Abst.798	4.25E+01	7.00E+01	7.00E+01
SP.Syn.Abst.799	1.88E+01	2.08E+01	1.56E+01
SP.Syn.Abst.800	2.85E+01	2.92E+01	2.36E+01
SP.Syn.Abst.801	1.77E+01	1.73E+01	1.43E+01
SP.Syn.Abst.802	2.27E+01	2.47E+01	1.69E+01
SP.Syn.Abst.803	2.27E+01	2.13E+01	1.77E+01
SP.Syn.Abst.804	2.44E+01	2.37E+01	1.78E+01
SP.Syn.Abst.805	2.14E+01	2.18E+01	1.17E+01
SP.Syn.Abst.806	4.20E+01	3.97E+01	2.26E+01
SP.Syn.Abst.807	2.45E+01	2.45E+01	2.69E+01
SP.Syn.Abst.808	1.92E+01	1.92E+01	1.26E+01
SP.Syn.Abst.809	2.96E+01	2.65E+01	1.80E+01
SP.Syn.Abst.810	3.10E+01	3.04E+01	3.59E+01
SP.Syn.Abst.811	2.77E+01	2.59E+01	1.91E+01
SP.Syn.Abst.812	1.51E+01	1.72E+01	1.87E+01
SP.Syn.Abst.813	3.25E+01	2.67E+01	2.30E+01
SP.Syn.Abst.814	2.44E+01	2.47E+01	1.78E+01
SP.Syn.Abst.815	3.35E+01	2.96E+01	2.38E+01
SP.Syn.Abst.816	2.53E+01	2.09E+01	2.10E+01
SP.Syn.Abst.817	3.34E+01	3.25E+01	1.54E+01
SP.Syn.Abst.818	1.76E+01	2.06E+01	2.17E+01
SP.Syn.Abst.819	3.78E+01	3.51E+01	2.12E+01
SP.Syn.Abst.820	3.18E+01	4.16E+01	4.76E+01
SP.Syn.Abst.821	2.42E+01	2.43E+01	1.78E+01
